test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
C12orf51	C12orf51	C12orf51	chr12:112597991-112819896	KO1_WT	KO1_Pus1	OK	8.94518	10.728	0.262195	1.89567	0.0071	0.027659	yes
C12orf52	C12orf52	C12orf52	chr12:113623554-113630119	KO1_WT	KO1_Pus1	OK	27.4694	36.7789	0.421055	2.10662	0.00245	0.0118414	yes
C12orf53	C12orf53	C12orf53	chr12:6802956-6810009	KO1_WT	KO1_Pus1	OK	1.33636	3.11004	1.21862	3.84161	5e-05	0.000427361	yes
C12orf54	C12orf54	C12orf54	chr12:48876285-48890297	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C12orf56	C12orf56	C12orf56	chr12:64660762-64784345	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C12orf57	C12orf57	C12orf57	chr12:7053202-7055165	KO1_WT	KO1_Pus1	OK	57.7361	71.7864	0.314238	1.42086	0.043	0.116031	no
C12orf59	C12orf59	C12orf59	chr12:10331556-10344403	KO1_WT	KO1_Pus1	NOTEST	0.0120728	0	-inf	0	1	1	no
C12orf60	C12orf60	C12orf60	chr12:14956505-14976791	KO1_WT	KO1_Pus1	OK	3.89255	3.4864	-0.158979	-0.443231	0.5263	0.691993	no
C12orf61	C12orf61	C12orf61	chr12:62995530-62997214	KO1_WT	KO1_Pus1	NOTEST	0.290074	0.459405	0.663346	0	1	1	no
C12orf65	C12orf65	C12orf65	chr12:123717843-123742506	KO1_WT	KO1_Pus1	OK	14.2756	12.8573	-0.150961	-0.68154	0.33205	0.515534	no
C12orf66	C12orf66	C12orf66	chr12:64586418-64616076	KO1_WT	KO1_Pus1	OK	5.66922	4.44934	-0.349559	-1.43135	0.0431	0.116229	no
C12orf68	C12orf68	C12orf68	chr12:48577365-48579709	KO1_WT	KO1_Pus1	OK	1.55181	2.10974	0.443114	1.30995	0.064	0.156843	no
C12orf69	C12orf69	C12orf69	chr12:14956505-14976791	KO1_WT	KO1_Pus1	NOTEST	0.14557	0.0819958	-0.828093	0	1	1	no
C12orf70	C12orf70	C12orf70	chr12:27619742-27655118	KO1_WT	KO1_Pus1	NOTEST	0.10681	0.381407	1.83628	0	1	1	no
C12orf71	C12orf71	C12orf71	chr12:27233989-27235455	KO1_WT	KO1_Pus1	NOTEST	0.0673172	0.0404027	-0.736521	0	1	1	no
C12orf73	C12orf73	C12orf73	chr12:104343980-104350993	KO1_WT	KO1_Pus1	OK	10.2229	9.5036	-0.105261	-0.448737	0.52405	0.689927	no
C12orf74	C12orf74	C12orf74	chr12:93096618-93102325	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C12orf75	C12orf75	C12orf75	chr12:105724413-105765296	KO1_WT	KO1_Pus1	OK	35.8875	42.5807	0.246717	1.22591	0.08205	0.189249	no
C12orf76	C12orf76	C12orf76	chr12:110478982-110505500	KO1_WT	KO1_Pus1	OK	3.57903	5.29061	0.563864	2.05403	0.0045	0.0193062	yes
C12orf77	C12orf77	C12orf77	chr12:25146364-25150373	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C13orf15	C13orf15	C13orf15	chr13:42031541-42045013	KO1_WT	KO1_Pus1	OK	3.39145	4.54422	0.422128	1.20168	0.09365	0.20946	no
C13orf33	C13orf33	C13orf33	chr13:31456971-31506745	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C13orf35	C13orf35	C13orf35	chr13:113301357-113338811	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C14orf1	C14orf1	C14orf1	chr14:76117232-76127538	KO1_WT	KO1_Pus1	OK	47.8634	40.0186	-0.258251	-1.30855	0.0615	0.152269	no
C14orf101	C14orf101	C14orf101	chr14:57046510-57116232	KO1_WT	KO1_Pus1	OK	6.14612	7.19911	0.228143	1.07472	0.1267	0.261392	no
C14orf102	C14orf102	C14orf102	chr14:90744397-90798481	KO1_WT	KO1_Pus1	OK	11.7961	11.4495	-0.0430237	-0.213435	0.75525	0.858558	no
C14orf105	C14orf105	C14orf105	chr14:57936594-57960576	KO1_WT	KO1_Pus1	NOTEST	0.0109093	0	-inf	0	1	1	no
C14orf109	C14orf109	C14orf109	chr14:93651295-93653431	KO1_WT	KO1_Pus1	OK	22.4529	27.6637	0.301096	1.30247	0.0594	0.148545	no
C14orf118	C14orf118	C14orf118	chr14:76618258-76669134	KO1_WT	KO1_Pus1	OK	9.48357	10.2155	0.107252	0.493494	0.47175	0.648129	no
C14orf119	C14orf119	C14orf119	chr14:23527773-23569665	KO1_WT	KO1_Pus1	OK	21.1922	22.6136	0.0936563	0.259147	0.70955	0.829147	no
C14orf126	C14orf126	C14orf126	chr14:31915242-31926680	KO1_WT	KO1_Pus1	OK	11.3417	12.6367	0.155978	0.743183	0.29535	0.475366	no
C14orf129	C14orf129	C14orf129	chr14:96846021-96853563	KO1_WT	KO1_Pus1	OK	14.3341	15.0474	0.0700594	0.330244	0.6392	0.780483	no
C14orf132	C14orf132	C14orf132	chr14:96505660-96560226	KO1_WT	KO1_Pus1	OK	4.30836	4.76393	0.145011	0.700908	0.32295	0.506181	no
C14orf133	C14orf133	C14orf133	chr14:77893017-77923983	KO1_WT	KO1_Pus1	OK	8.47268	8.77563	0.0506852	0.22727	0.74655	0.853735	no
C14orf135	C14orf135	C14orf135	chr14:60558628-60601532	KO1_WT	KO1_Pus1	OK	18.0308	19.0893	0.0823012	0.421607	0.54425	0.706248	no
C14orf142	C14orf142	C14orf142	chr14:93669236-93695561	KO1_WT	KO1_Pus1	OK	18.3915	17.4372	-0.0768668	-0.185655	0.7887	0.88045	no
C14orf149	C14orf149	C14orf149	chr14:59939405-59951073	KO1_WT	KO1_Pus1	OK	7.72474	5.87047	-0.396011	-1.4608	0.03905	0.107703	no
C14orf159	C14orf159	C14orf159	chr14:91580356-91691703	KO1_WT	KO1_Pus1	OK	3.24143	3.26932	0.0123622	0.0463952	0.9455	0.969793	no
C14orf162	C14orf162	C14orf162	chr14:70036530-70037918	KO1_WT	KO1_Pus1	NOTEST	0.523667	0.185001	-1.50112	0	1	1	no
C14orf165	C14orf165	C14orf165	chr14:24391456-24403777	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C14orf166	C14orf166	C14orf166	chr14:52456227-52471420	KO1_WT	KO1_Pus1	OK	218.066	221.973	0.0256246	0.187079	0.7922	0.882753	no
C14orf166B	C14orf166B	C14orf166B	chr14:77292724-77336645	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C14orf167	C14orf167	C14orf167	chr14:24407939-24438488	KO1_WT	KO1_Pus1	OK	9.82563	9.76729	-0.00859076	-0.0360111	0.95555	0.975105	no
C14orf169	C14orf169	C14orf169	chr14:73945188-74025651	KO1_WT	KO1_Pus1	NOTEST	0.0361444	0.0138795	-1.38082	0	1	1	no
C14orf176	C14orf176	C14orf176	chr14:21558204-21572863	KO1_WT	KO1_Pus1	OK	1.07111	0.586963	-0.867766	-0.859016	0.2392	0.413586	no
C14orf177	C14orf177	C14orf177	chr14:99177949-99184103	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C14orf178	C14orf178	C14orf178	chr14:78183943-78236085	KO1_WT	KO1_Pus1	NOTEST	0.0757093	0.300011	1.98647	0	1	1	no
C14orf180	C14orf180	C14orf180	chr14:105046055-105056183	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C14orf182	C14orf182	C14orf182	chr14:50448429-50474238	KO1_WT	KO1_Pus1	NOTEST	0.0782872	0.0121253	-2.69075	0	1	1	no
C14orf183	C14orf183	C14orf183	chr14:50550368-50559361	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C14orf2	C14orf2	C14orf2	chr14:104378624-104387903	KO1_WT	KO1_Pus1	OK	215.548	209.161	-0.0433938	-0.225592	0.7514	0.856909	no
C14orf21	C14orf21	C14orf21	chr14:24769097-24774374	KO1_WT	KO1_Pus1	OK	21.1786	21.4047	0.0153186	0.0751914	0.9138	0.952734	no
C14orf23	C14orf23	C14orf23	chr14:29241909-29264000	KO1_WT	KO1_Pus1	OK	0.924248	0.726476	-0.347366	-0.45597	0.4985	0.669973	no
C14orf28	C14orf28	C14orf28	chr14:45366506-45376460	KO1_WT	KO1_Pus1	OK	1.58286	2.22269	0.489771	1.5833	0.02705	0.0809051	no
C14orf37	C14orf37	C14orf37	chr14:58470807-58618847	KO1_WT	KO1_Pus1	OK	2.60554	2.76917	0.0878715	0.323215	0.64125	0.782047	no
C14orf38	C14orf38	C14orf38	chr14:59951160-60043549	KO1_WT	KO1_Pus1	NOTEST	0.189219	0.0647678	-1.5467	0	1	1	no
C14orf39	C14orf39	C14orf39	chr14:60902673-60952764	KO1_WT	KO1_Pus1	NOTEST	0.0708133	0.06021	-0.234018	0	1	1	no
C14orf43	C14orf43	C14orf43	chr14:74181824-74253896	KO1_WT	KO1_Pus1	OK	5.33605	4.65724	-0.196298	-0.953921	0.17485	0.330256	no
C14orf45	C14orf45	C14orf45	chr14:74486058-74551196	KO1_WT	KO1_Pus1	OK	2.02563	2.17107	0.100035	0.23682	0.7318	0.8432	no
C14orf49	C14orf49	C14orf49	chr14:95883830-95942173	KO1_WT	KO1_Pus1	OK	0.615623	0.518915	-0.246549	-0.532109	0.4577	0.635366	no
C14orf55	C14orf55	C14orf55	chr14:70935595-70950473	KO1_WT	KO1_Pus1	NOTEST	0.121461	0.0760138	-0.676164	0	1	1	no
C14orf64	C14orf64	C14orf64	chr14:98391946-98444461	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C14orf79	C14orf79	C14orf79	chr14:105452615-105461855	KO1_WT	KO1_Pus1	OK	4.76656	4.59721	-0.0521892	-0.192134	0.78655	0.879015	no
C14orf80	C14orf80	C14orf80	chr14:105956191-105965585	KO1_WT	KO1_Pus1	OK	14.0475	10.9309	-0.361895	-1.60638	0.02175	0.0677521	no
C14orf93	C14orf93	C14orf93	chr14:23456109-23479360	KO1_WT	KO1_Pus1	OK	3.78011	3.0369	-0.315831	-1.13197	0.1041	0.226135	no
C15orf17	C15orf17	C15orf17	chr15:75192327-75199462	KO1_WT	KO1_Pus1	OK	18.8458	15.2202	-0.308259	-1.55918	0.02795	0.0828654	no
C15orf2	C15orf2	C15orf2	chr15:24920540-24928593	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C15orf23	C15orf23	C15orf23	chr15:40674921-40686489	KO1_WT	KO1_Pus1	OK	41.8502	40.2734	-0.0554045	-0.282544	0.68635	0.812236	no
C15orf24	C15orf24	C15orf24	chr15:34376223-34394053	KO1_WT	KO1_Pus1	OK	67.6428	68.5697	0.0196355	0.099343	0.8867	0.937048	no
C15orf26	C15orf26	C15orf26	chr15:81426643-81441516	KO1_WT	KO1_Pus1	NOTEST	0.087289	0.112416	0.364976	0	1	1	no
C15orf27	C15orf27	C15orf27	chr15:76352298-76497304	KO1_WT	KO1_Pus1	OK	1.44922	0.998531	-0.537393	-1.36696	0.05405	0.138387	no
C15orf29	C15orf29	C15orf29	chr15:34432874-34502297	KO1_WT	KO1_Pus1	OK	7.98358	9.00224	0.17325	0.789275	0.2623	0.439127	no
C15orf32	C15orf32	C15orf32	chr15:93014906-93044347	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C15orf33	C15orf33	C15orf33	chr15:49447975-49913118	KO1_WT	KO1_Pus1	NOTEST	0.387687	0.536411	0.468445	0	1	1	no
C15orf34	C15orf34	C15orf34	chr15:72635777-72671129	KO1_WT	KO1_Pus1	NOTEST	0.519708	0.359955	-0.529884	0	1	1	no
C15orf37	C15orf37	C15orf37	chr15:80135888-80217196	KO1_WT	KO1_Pus1	OK	2.44613	2.32145	-0.0754711	-0.13111	0.8497	0.916491	no
C15orf38	C15orf38	C15orf38	chr15:90373830-90456222	KO1_WT	KO1_Pus1	OK	13.3498	10.1041	-0.401885	-0.936888	0.18495	0.34407	no
C15orf38-AP3S2	C15orf38-AP3S2	C15orf38-AP3S2	chr15:90373830-90456222	KO1_WT	KO1_Pus1	OK	2.89968	3.51003	0.275592	0.582722	0.40585	0.585614	no
C15orf39	C15orf39	C15orf39	chr15:75494220-75504510	KO1_WT	KO1_Pus1	OK	22.4944	16.0969	-0.482782	-2.49273	0.00015	0.00114045	yes
C15orf40	C15orf40	C15orf40	chr15:83654954-83680393	KO1_WT	KO1_Pus1	OK	17.9077	15.8111	-0.179643	-0.679451	0.33705	0.519937	no
C15orf41	C15orf41	C15orf41	chr15:36871811-37110707	KO1_WT	KO1_Pus1	OK	7.79528	8.44087	0.11479	0.510921	0.4638	0.64114	no
C15orf42	C15orf42	C15orf42	chr15:90118817-90198682	KO1_WT	KO1_Pus1	OK	20.0799	12.3267	-0.703965	-4.02456	5e-05	0.000427361	yes
C15orf43	C15orf43	C15orf43	chr15:45248902-45271421	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C15orf44	C15orf44	C15orf44	chr15:65871095-65903627	KO1_WT	KO1_Pus1	OK	53.3831	40.2327	-0.408014	-2.25889	0.0016	0.00833362	yes
C15orf48	C15orf48	C15orf48	chr15:45722762-45725647	KO1_WT	KO1_Pus1	OK	0.698478	1.02665	0.555655	0.65841	0.3257	0.509084	no
C15orf5	C15orf5	C15orf5	chr15:77400497-77712446	KO1_WT	KO1_Pus1	NOTEST	0.107524	0.0488542	-1.1381	0	1	1	no
C15orf50	C15orf50	C15orf50	chr15:70127572-70135306	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C15orf52	C15orf52	C15orf52	chr15:40623652-40633168	KO1_WT	KO1_Pus1	OK	0.754038	0.981459	0.380292	1.18106	0.09725	0.215361	no
C15orf53	C15orf53	C15orf53	chr15:38988798-38992239	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C15orf54	C15orf54	C15orf54	chr15:39542884-39547048	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C15orf55	C15orf55	C15orf55	chr15:34638065-34649931	KO1_WT	KO1_Pus1	NOTEST	0.0696641	0.0334387	-1.05889	0	1	1	no
C15orf56	C15orf56	C15orf56	chr15:40453209-40569688	KO1_WT	KO1_Pus1	NOTEST	0.0263574	0.0321486	0.28655	0	1	1	no
C15orf57	C15orf57	C15orf57	chr15:40845297-40857252	KO1_WT	KO1_Pus1	OK	8.42466	8.74556	0.0539312	0.219717	0.75465	0.858319	no
C15orf58	C15orf58	C15orf58	chr15:90777486-90785312	KO1_WT	KO1_Pus1	OK	3.17498	2.25181	-0.49566	-1.33923	0.05815	0.146194	no
C15orf59	C15orf59	C15orf59	chr15:74032140-74043816	KO1_WT	KO1_Pus1	OK	3.71605	5.37374	0.532156	1.71818	0.017	0.0556172	no
C15orf60	C15orf60	C15orf60	chr15:73735498-73925753	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C15orf61	C15orf61	C15orf61	chr15:67547137-67819641	KO1_WT	KO1_Pus1	OK	9.34203	5.79963	-0.687776	-1.98189	0.0051	0.0213062	yes
C15orf62	C15orf62	C15orf62	chr15:41060066-41106767	KO1_WT	KO1_Pus1	OK	1.29266	1.0337	-0.322524	-0.489091	0.47885	0.65421	no
C15orf63	C15orf63	C15orf63	chr15:44038589-44094769	KO1_WT	KO1_Pus1	OK	49.3914	39.7093	-0.314781	-0.901867	0.19835	0.361558	no
C16orf11	C16orf11	C16orf11	chr16:610421-615529	KO1_WT	KO1_Pus1	OK	0.115279	0.609057	2.40145	2.66152	0.009	0.033557	yes
C16orf13	C16orf13	C16orf13	chr16:684428-686347	KO1_WT	KO1_Pus1	OK	88.9389	62.1166	-0.517834	-2.3584	0.00065	0.00397828	yes
C16orf3	C16orf3	C16orf3	chr16:90089007-90114191	KO1_WT	KO1_Pus1	OK	0.686912	0.322074	-1.09273	-0.436453	0.5172	0.683973	no
C16orf42	C16orf42	C16orf42	chr16:1383605-1401873	KO1_WT	KO1_Pus1	OK	52.2169	51.6913	-0.0145957	-0.0710893	0.9186	0.955101	no
C16orf45	C16orf45	C16orf45	chr16:15528324-15682116	KO1_WT	KO1_Pus1	OK	1.03809	2.39869	1.20832	3.19411	5e-05	0.000427361	yes
C16orf46	C16orf46	C16orf46	chr16:81087101-81110872	KO1_WT	KO1_Pus1	OK	2.0752	1.88962	-0.135158	-0.382634	0.58655	0.739482	no
C16orf48	C16orf48	C16orf48	chr16:67696849-67700628	KO1_WT	KO1_Pus1	OK	9.23208	11.4106	0.305647	1.2833	0.067	0.162269	no
C16orf5	C16orf5	C16orf5	chr16:4560676-4588816	KO1_WT	KO1_Pus1	OK	18.5351	21.1205	0.188387	0.9363	0.1827	0.341374	no
C16orf52	C16orf52	C16orf52	chr16:22019455-22095972	KO1_WT	KO1_Pus1	OK	5.26928	7.58995	0.526483	2.47302	0.0006	0.0037275	yes
C16orf53	C16orf53	C16orf53	chr16:29827527-29859360	KO1_WT	KO1_Pus1	OK	49.6613	39.0152	-0.348086	-2.50717	0.00035	0.00236689	yes
C16orf54	C16orf54	C16orf54	chr16:29753785-29757340	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C16orf55	C16orf55	C16orf55	chr16:89724209-89737675	KO1_WT	KO1_Pus1	OK	4.17058	3.42272	-0.285104	-1.03766	0.1439	0.287061	no
C16orf57	C16orf57	C16orf57	chr16:58035276-58055527	KO1_WT	KO1_Pus1	OK	35.6618	33.8649	-0.0745923	-0.383464	0.5886	0.740951	no
C16orf58	C16orf58	C16orf58	chr16:31494438-31519706	KO1_WT	KO1_Pus1	OK	13.7464	15.1773	0.14286	0.693533	0.3223	0.505744	no
C16orf59	C16orf59	C16orf59	chr16:2510114-2514964	KO1_WT	KO1_Pus1	OK	18.8379	16.9939	-0.14862	-0.693748	0.3254	0.508796	no
C16orf62	C16orf62	C16orf62	chr16:19566736-19712485	KO1_WT	KO1_Pus1	OK	13.5321	15.1383	0.161813	0.814638	0.24295	0.417796	no
C16orf7	C16orf7	C16orf7	chr16:89773540-89883065	KO1_WT	KO1_Pus1	OK	0.686183	1.13767	0.729411	0.507602	0.4531	0.630703	no
C16orf70	C16orf70	C16orf70	chr16:67143914-67184902	KO1_WT	KO1_Pus1	OK	13.7688	12.4908	-0.140528	-0.667931	0.3309	0.514474	no
C16orf71	C16orf71	C16orf71	chr16:4746510-4799397	KO1_WT	KO1_Pus1	NOTEST	0.212855	0.320001	0.588204	0	1	1	no
C16orf72	C16orf72	C16orf72	chr16:9185536-9213555	KO1_WT	KO1_Pus1	OK	21.3354	21.9242	0.0392755	0.203141	0.7691	0.867846	no
C16orf73	C16orf73	C16orf73	chr16:1877224-1922179	KO1_WT	KO1_Pus1	NOTEST	0	0.0209644	inf	0	1	1	no
C16orf74	C16orf74	C16orf74	chr16:85741123-85784689	KO1_WT	KO1_Pus1	OK	3.21753	1.95306	-0.720221	-1.5196	0.03445	0.0978973	no
C16orf78	C16orf78	C16orf78	chr16:49407807-49433319	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C16orf79	C16orf79	C16orf79	chr16:2255177-2261069	KO1_WT	KO1_Pus1	OK	1.41839	1.49151	0.0725198	0.0395373	0.9555	0.975105	no
C16orf80	C16orf80	C16orf80	chr16:58147496-58163296	KO1_WT	KO1_Pus1	OK	42.9457	39.5667	-0.118228	-0.586522	0.4041	0.583965	no
C16orf82	C16orf82	C16orf82	chr16:27078218-27080487	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C16orf86	C16orf86	C16orf86	chr16:67700716-67702661	KO1_WT	KO1_Pus1	OK	0.601494	0.842978	0.486944	0.716966	0.3135	0.495525	no
C16orf87	C16orf87	C16orf87	chr16:46835958-46865074	KO1_WT	KO1_Pus1	OK	25.3188	28.3825	0.164789	0.789625	0.26045	0.436583	no
C16orf88	C16orf88	C16orf88	chr16:19717673-19868859	KO1_WT	KO1_Pus1	OK	44.9428	46.0591	0.035396	0.176532	0.80095	0.88857	no
C16orf89	C16orf89	C16orf89	chr16:5094122-5116146	KO1_WT	KO1_Pus1	NOTEST	0.0961435	0.196241	1.02937	0	1	1	no
C16orf90	C16orf90	C16orf90	chr16:3543483-3545421	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C16orf91	C16orf91	C16orf91	chr16:1469943-1479345	KO1_WT	KO1_Pus1	OK	3.32205	3.33173	0.00419631	0.0110563	0.9773	0.986709	no
C16orf92	C16orf92	C16orf92	chr16:30034654-30042186	KO1_WT	KO1_Pus1	NOTEST	0.0152809	0	-inf	0	1	1	no
C16orf93	C16orf93	C16orf93	chr16:30759619-30787628	KO1_WT	KO1_Pus1	OK	3.39718	3.75109	0.142974	0.0983964	0.89155	0.939447	no
C16orf95	C16orf95	C16orf95	chr16:87336403-87351026	KO1_WT	KO1_Pus1	OK	6.84911	6.90403	0.0115229	0.0381592	0.9586	0.977086	no
C16orf96	C16orf96	C16orf96	chr16:4606490-4650318	KO1_WT	KO1_Pus1	NOTEST	0.153723	0.283729	0.884178	0	1	1	no
C17orf100	C17orf100	C17orf100	chr17:6555058-6556617	KO1_WT	KO1_Pus1	OK	2.91198	2.27083	-0.358776	-1.01784	0.1509	0.296858	no
C17orf101	C17orf101	C17orf101	chr17:80347085-80408707	KO1_WT	KO1_Pus1	OK	6.01149	5.60119	-0.101987	-0.298834	0.66875	0.800151	no
C17orf102	C17orf102	C17orf102	chr17:32901141-32906388	KO1_WT	KO1_Pus1	NOTEST	0	0.0164561	inf	0	1	1	no
C17orf103	C17orf103	C17orf103	chr17:21142183-21156578	KO1_WT	KO1_Pus1	OK	4.80372	4.28584	-0.164576	-0.747214	0.28505	0.465269	no
C17orf104	C17orf104	C17orf104	chr17:42733761-42753165	KO1_WT	KO1_Pus1	OK	2.59448	2.07386	-0.323126	-1.28265	0.0676	0.163392	no
C17orf105	C17orf105	C17orf105	chr17:41857802-41862054	KO1_WT	KO1_Pus1	NOTEST	0	0.101497	inf	0	1	1	no
C17orf107	C17orf107	C17orf107	chr17:4736634-4806369	KO1_WT	KO1_Pus1	NOTEST	0.134876	0.179876	0.415363	0	1	1	no
C17orf108	C17orf108	C17orf108	chr17:26205339-26220409	KO1_WT	KO1_Pus1	OK	1.89571	2.18761	0.206618	0.527621	0.4539	0.631617	no
C17orf109	C17orf109	C17orf109	chr17:73584138-73663269	KO1_WT	KO1_Pus1	NOTEST	0.428714	0.446343	0.0581362	0	1	1	no
C17orf110	C17orf110	C17orf110	chr17:73584138-73663269	KO1_WT	KO1_Pus1	NOTEST	0.1855	0	-inf	0	1	1	no
C17orf28	C17orf28	C17orf28	chr17:72946838-72968900	KO1_WT	KO1_Pus1	OK	2.37501	4.07921	0.780357	3.02867	0.0001	0.000799879	yes
C17orf39	C17orf39	C17orf39	chr17:17942610-17971718	KO1_WT	KO1_Pus1	OK	12.2515	11.1005	-0.142339	-0.710258	0.30975	0.491597	no
C17orf47	C17orf47	C17orf47	chr17:56618947-56621733	KO1_WT	KO1_Pus1	NOTEST	0.055628	0.0634133	0.188974	0	1	1	no
C17orf48	C17orf48	C17orf48	chr17:10600926-10614875	KO1_WT	KO1_Pus1	OK	4.26165	4.54371	0.0924558	0.311084	0.664	0.797283	no
C17orf49	C17orf49	C17orf49	chr17:6915735-6922973	KO1_WT	KO1_Pus1	OK	68.4545	45.4402	-0.591178	-1.87956	0.01045	0.0378215	yes
C17orf50	C17orf50	C17orf50	chr17:34087915-34092098	KO1_WT	KO1_Pus1	NOTEST	0	0.0371304	inf	0	1	1	no
C17orf51	C17orf51	C17orf51	chr17:21431570-21454941	KO1_WT	KO1_Pus1	OK	19.4268	16.6147	-0.225586	-1.6246	0.02005	0.0635807	no
C17orf53	C17orf53	C17orf53	chr17:42219273-42239844	KO1_WT	KO1_Pus1	OK	7.38261	9.73028	0.39835	1.80921	0.0096	0.0353453	yes
C17orf56	C17orf56	C17orf56	chr17:79202076-79212891	KO1_WT	KO1_Pus1	OK	9.77198	10.2101	0.0632722	0.287051	0.68485	0.811597	no
C17orf57	C17orf57	C17orf57	chr17:45401326-45518677	KO1_WT	KO1_Pus1	OK	0.630315	0.867726	0.461167	1.17866	0.09815	0.216737	no
C17orf58	C17orf58	C17orf58	chr17:65987216-65989765	KO1_WT	KO1_Pus1	OK	19.3829	16.6254	-0.221394	-1.01862	0.1468	0.291351	no
C17orf59	C17orf59	C17orf59	chr17:8091650-8093564	KO1_WT	KO1_Pus1	OK	7.65925	6.02113	-0.347169	-1.40993	0.04455	0.119239	no
C17orf61	C17orf61	C17orf61	chr17:7284292-7307450	KO1_WT	KO1_Pus1	OK	148.386	109.502	-0.438405	-1.92484	0.00615	0.024656	yes
C17orf61-PLSCR3	C17orf61-PLSCR3	C17orf61-PLSCR3	chr17:7284292-7307450	KO1_WT	KO1_Pus1	OK	1.16304	0.828168	-0.489908	-0.222342	0.75565	0.858865	no
C17orf62	C17orf62	C17orf62	chr17:80347085-80408707	KO1_WT	KO1_Pus1	OK	25.5558	16.9442	-0.592853	-1.77074	0.01015	0.0369584	yes
C17orf63	C17orf63	C17orf63	chr17:27082995-27169841	KO1_WT	KO1_Pus1	OK	8.75221	7.98859	-0.131707	-0.631851	0.3704	0.552123	no
C17orf64	C17orf64	C17orf64	chr17:58499864-58508787	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C17orf65	C17orf65	C17orf65	chr17:42248073-42264082	KO1_WT	KO1_Pus1	OK	5.34908	5.70007	0.0916892	0.344986	0.6194	0.76492	no
C17orf66	C17orf66	C17orf66	chr17:34181959-34195895	KO1_WT	KO1_Pus1	NOTEST	0.0143052	0	-inf	0	1	1	no
C17orf67	C17orf67	C17orf67	chr17:54869273-54893250	KO1_WT	KO1_Pus1	OK	0.699127	0.367319	-0.928519	-0.852415	0.2361	0.409976	no
C17orf69	C17orf69	C17orf69	chr17_ctg5_hap1:954314-1170453	KO1_WT	KO1_Pus1	OK	7.91616	12.1112	0.613474	1.31377	0.06175	0.152774	no
C17orf70	C17orf70	C17orf70	chr17:79506910-79519429	KO1_WT	KO1_Pus1	OK	18.8928	16.9713	-0.154745	-0.788564	0.2551	0.43084	no
C17orf72	C17orf72	C17orf72	chr17:62075710-62097994	KO1_WT	KO1_Pus1	NOTEST	0.172972	0.0767111	-1.17303	0	1	1	no
C17orf74	C17orf74	C17orf74	chr17:7328934-7330886	KO1_WT	KO1_Pus1	NOTEST	0	0.105723	inf	0	1	1	no
C17orf75	C17orf75	C17orf75	chr17:30655459-30669228	KO1_WT	KO1_Pus1	OK	9.19335	11.4215	0.313087	1.55554	0.02785	0.0826803	no
C17orf76-AS1	C17orf76-AS1	C17orf76-AS1	chr17:16342300-16395480	KO1_WT	KO1_Pus1	OK	460.111	367.243	-0.325246	-2.34264	0.0007	0.00423332	yes
C17orf77	C17orf77	C17orf77	chr17:72576110-72590348	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
C17orf78	C17orf78	C17orf78	chr17:35441926-35766902	KO1_WT	KO1_Pus1	NOTEST	0	0.0380215	inf	0	1	1	no
C17orf79	C17orf79	C17orf79	chr17:30178883-30186326	KO1_WT	KO1_Pus1	OK	78.3293	73.1436	-0.0988216	-0.49827	0.48265	0.657702	no
C17orf80	C17orf80	C17orf80	chr17:71228775-71258019	KO1_WT	KO1_Pus1	OK	30.3759	29.3299	-0.0505577	-0.258137	0.71365	0.831805	no
C17orf81	C17orf81	C17orf81	chr17:7155371-7166512	KO1_WT	KO1_Pus1	OK	59.8243	39.0476	-0.615499	-3.0992	5e-05	0.000427361	yes
